read_308 | status=OK | qual=AA | max_diff=7 sum_diff=8 | diff=<-7, 1>
read_309 | status=OK | qual=AA | max_diff=1 sum_diff=1 | diff=<-1, 0>
read_310 | status=OK | qual=AA | max_diff=6 sum_diff=8 | diff=<6, -2>
read_311 | status=OK | qual=AA | max_diff=0 sum_diff=0 | diff=<0, 0>
read_312 | status=OK | qual=AA | max_diff=2 sum_diff=2 | diff=<0, -2>
read_313 | status=OK | qual=AA | max_diff=7 sum_diff=9 | diff=<-7, -2>
read_314 | status=OK | qual=AA | max_diff=2 sum_diff=2 | diff=<0, -2>
read_315 | status=OK | qual=AA | max_diff=5 sum_diff=8 | diff=<-3, -5>
read_316 | status=OK | qual=AA | max_diff=1 sum_diff=2 | diff=<-1, -1>
read_317 | status=OK | qual=AA | max_diff=7 sum_diff=9 | diff=<-2, 7>
read_318 | status=OK | qual=AA | max_diff=2 sum_diff=2 | diff=<0, -2>
read_319 | status=OK | qual=AA | max_diff=2 sum_diff=3 | diff=<1, 2>
read_320 | status=OK | qual=AA | max_diff=3 sum_diff=3 | diff=<3, 0>
read_321 | status=OK | qual=AA | max_diff=2 sum_diff=2 | diff=<-2, 0>
read_322 | status=OK | qual=AA | max_diff=1 sum_diff=1 | diff=<0, -1>
read_323 | status=OK | qual=AA | max_diff=1 sum_diff=1 | diff=<0, -1>
read_324 | status=OK | qual=AA | max_diff=2 sum_diff=3 | diff=<-1, -2>
read_325 | status=OK | qual=AA | max_diff=6 sum_diff=6 | diff=<0, -6>
read_326 | status=OK | qual=AA | max_diff=2 sum_diff=2 | diff=<0, -2>
read_327 | status=OK | qual=AA | max_diff=2 sum_diff=3 | diff=<-2, -1>
read_328 | status=OK | qual=AA | max_diff=0 sum_diff=0 | diff=<0, 0>
read_329 | status=OK | qual=AA | max_diff=1 sum_diff=1 | diff=<0, 1>
read_330 | status=OK | qual=AA | max_diff=7 sum_diff=7 | diff=<0, -7>
